title,city,region,category,subcategory,description
Sukienka,Podkarpackie,Dębica,Moda,Ubrania,Sukienka dopasowująca się do sylwetki. Ciekawie wykończona góra.  Kolor zielony.
Kaszka Bobovita po 4 miesiącu,Zachodniopomorskie,Koszalin,Dla Dzieci,Pozostałe dla dzieci,Zamienię kaszkę Bobovita widoczną na zdjęciu na czekoladę.
Język polski dla Liceum i Technikum,Dolnośląskie,Oleśnica,Muzyka i Edukacja,Podręczniki szkolne,&quot;Świat do przeczytania&quot; Podręcznik do języka polskiego
"Gazeta, czasopismo dla winiarzy. Uprawa winnicy, uprawa winorośli.",Pomorskie,Kartuzy,Muzyka i Edukacja,Czasopisma,"Witam,"
Śliczna marynarka żakiet beżowy ozdobna broszka,Pomorskie,Reda,Moda,Ubrania,Zamienię bądź sprzedam. Stan idealny
kartka okolicznościowa na roczek dla chłopca nowa,Kujawsko-pomorskie,Toruń,Dla Dzieci,Pozostałe dla dzieci,"Zamienię nową kartkę z kopertą na roczek, z życzeniami w środku."
bluza cropp roz. S,Śląskie,Czechowice-Dziedzice,Moda,Ubrania,"Witam, mam na sprzedaż fioletową bluze ze sklepu cropp, stan bardzo dobry."
Ubranka dla chłopca,Mazowieckie,Warszawa,Dla Dzieci,Ubranka dla dzieci,Zamienię na coś co mnie zainteresuje bądź dla dziecka
Nowe Czółenka carmel rozm 39 wkładka 25 cm,Świętokrzyskie,Włoszczowa,Moda,Buty,Witam
"Stolik nocny, Nakastlik",Małopolskie,Limanowa,Dom i Ogród,Pozostałe meble,Dwie sztuki stolików nocnych SONOMA+BIALY POLYSK(front)
Dekoder Polsat,Mazowieckie,Warszawa,Elektronika,Pozostała elektronika,"Dekoder Polsatu Mini, kompletny"
Śliczna kurteczka wstawki eko skora,Lubuskie,Nowa Sól,Moda,Ubrania,Zamienię lub sprzedam śliczna kurteczke ze wstawkami eko skora rozm M/L zapraszam na pozostale ogłoszenia
Zbiorniczek do spryskiwaczy do Alfy 156,Podkarpackie,Nisko,Motoryzacja,Osobowe,Sprzedam zbiorniczek do spryskiwaczy do Alfy 156 cena 40zł.możliwa wysyłka w cenie 10zł.polecam.Stan nieuszkodzony.
Bluza kurtka COCCODRILLO r.98,Warmińsko-mazurskie,Giżycko,Dla Dzieci,Ubranka dla dzieci,Bardzo ciepła i przyjemna w dotyku liliowa bluza z kapturem zapinana na zamek i 2 zatrzaski. Nadaje się na chłodne dni. W środku obszyta bawełnianym materiałem w fioletowe kropki. Dziewczynka wyglada w niej bardzo uroczo :) Polecam!
Bluzka F&amp;amp;F,Łódzkie,Łódź,Dla Dzieci,Ubranka dla dzieci,"Bluzka dla chłopca.  Wymiary: dł od ramienia 39, szerokość paszki 35, dł rękawa od paszki 27."
Converse trampki,Kujawsko-pomorskie,Włocławek,Moda,Buty,"Sprzedam trampki converse jak nowe, miałam na sobie kilka razy. Kolor jasny fiolet. Rozmiar 38. Możliwość przesyłki 15 zł."
naklejki champions league topps ak30.01 2017,Lubelskie,Zamość,Sport i Hobby,Kolekcje,"moje powtórki  wymiana akt.25,10"
nowa książka w folii: &amp;quot;Chory w domu&amp;quot; Diana Hastings,Mazowieckie,Warszawa,Muzyka i Edukacja,Poradniki i albumy,nowa książka w folii
APARTAMENT w VILLA AFRIKA do 400m2 powierzchni- 1 do 17 osób,Warmińsko-mazurskie,Ełk,Nieruchomości,Noclegi,WIĘCEj zdjęć oraz AKTUALNY CENNIKznajdziecie Państwo na portalu rezerwacyjnym AIRBNB
Nokia Lumia 735 LTE,Małopolskie,Kraków,Elektronika,Nokia,"Witam mam do sprzedania Nokie Lumie 735 LTE , na telefonie przez cały okres użytkowania było naklejone szkło hartowane dzięki czemu ekran jest niemal jak nowy. Tylna obudowa telefonu jest delikatnie pęknięta (widoczne na zdjęciu) jednak nie przeszkadza to w użytkowaniu. Do telefonu dołączam oryginalne pudełko, ładowarkę oraz bardzo wytrzymałe etui SHTL. Telefon działa na systemie Windows Phone 10 , istnieje możliwość przywrócenia do 8.1. BEZ SIMLOCK-A. W razie pytań proszę o kontakt"
Buty 39,Mazowieckie,Nowy Dwór Mazowiecki,Moda,Buty,Zamienię na małą slodkosc dla dziecka buty rozmiar 39. Stan bardzo dobry.
Meblościanka,Śląskie,Bieruń,Dom i Ogród,Komplety mebli,"Sprzedam meblościankę stan dobry kupiona bya w całości tnz jest z 6 modułów które się skręca w całość nie była kupiona w paczkach dlatego jest bardzo solidna wymiary długość 3,7m wysokość 2,2 szerokość głębokość 50cm witryny 35cm"
Pierścionek srebrny pr 925 sprz/zam,Mazowieckie,Warszawa,Moda,Biżuteria,Witam
książka,Wielkopolskie,Września,Sport i Hobby,Kolekcje,&quot;Krajowe zwierzęta ssące&quot; -wydanie z 1952 r. mnóstwo rysunków (86). stan dobry. może się przyda jakiemuś kolekcjonerowi. zobacz także inne moje ogłoszenia.
Sukienka.,Kujawsko-pomorskie,Świecie,Moda,Ubrania,"Witam. Zamienie sukienkę na coś fajnego,stan uważam za dobry."
Casio Keyboard SA~6 JAK NOWY !!!,Małopolskie,Kraków,Muzyka i Edukacja,Instrumenty,Witam!
"kuferek na kosmetyki z lusterkiem, UNIKAT",Lubelskie,Lublin,Usługi i Firmy,Wyposażenie firm,witam
Fotelik za grosze !!!,Podkarpackie,Tarnobrzeg,Dla Dzieci,Foteliki - Nosidełka,Zamienie fotelik dla dziecka 0 - 9kg za paczke pampersow 5 i chusteczki nawilzane. Kontakt przez olx lub sms
Bluzka i spodnie (nowe),Wielkopolskie,Piła,Moda,Ubrania,"Spodnie nowe (z metkami) firmy Esmara- rozmiar 38, bluzka używana, rozmiar XS. Zachęcam do kupna i pozdrawiam."
Plakaty Michela Telo i Gusttavo Lima,Pomorskie,Gdynia,Sport i Hobby,Kolekcje,Zamienie na plakaty Seleny Gomez Justina Biebera Demi Lovato Miley Cyrus Zmierzch i Harry Potter lub sprzedam każdy plakat 1zl
Sprzedam dwuczęściowy kombinezon coccodrillo wROZ.110,Mazowieckie,Warszawa,Dla Dzieci,Ubranka dla dzieci,"witam, sprzedam używany kombinezon coccodrillo KIEDYŚ cocobello"
Piękny lakierowany portfel!! Nowy!!!,Śląskie,Bielsko-Biała,Moda,Dodatki,"Witam, mam do sprzedania piękny niebieski lakierowany portfel. Zapinany jest na klipsa , posiada miejsce na 12 kart, przegrodę na bilony i drobne monety."
Książka &amp;quot;Papierowe miasta&amp;quot;,Małopolskie,Sucha Beskidzka,Muzyka i Edukacja,Książki naukowe,"Quentin Jacobsen – dla przyjaciół Q – ma osiemnaście lat i od zawsze jest zakochany w zbuntowanej Margo Roth Spiegelman. W dzieciństwie przeżyli razem coś niesamowitego, teraz chodzą do tego samego liceum. Pewnego wieczoru w przewidywalne, nudne życie chłopaka wkracza Margo w stroju nindży i wciąga go w niezły bałagan. Po czym znika. Quentin wyrusza na poszukiwanie dziewczyny, która go fascynuje, idąc tropem skomplikowanych wskazówek, jakie zostawiła tylko dla niego. Żeby ją odnaleźć, musi pokonać setki kilometrów po USA. Po drodze przekonuje się na własnej skórze, że ludzie są w rzeczywistości zupełnie inni, niż sądzimy. Czy dowie się, kogo szuka i kim naprawdę jest Margo?"
Gra na ps 2 Tarzan Spiderman 2 Nysa wymiana za dopłatą,Opolskie,Nysa,Elektronika,Gry i Konsole,Zaprasza do kupna lub wymiany za dopłatą gier na PC i Konsole
Spodenki szorty - różne,Śląskie,Bytom,Dla Dzieci,Ubranka dla dzieci,"Sprzedam lub zamienię na interesujący mnie przedmiot, czekam na propozycję (każdą przemyślę :) ) (8 zł/sztuka lub 13 zł całość),"
Piękna porcelanowa lalka - Sandra Bolito - tonner,Dolnośląskie,Wrocław,Dla Dzieci,Zabawki,"W wyniku zamiany weszłam w posiadanie takiej oto lalki - nie chcę jej zatrzymać bo nie pasuje do mojej kolekcji, mam mniejsze lalki. Zamienię się na lalkę podobnej wartości lub ładne ciuszki i akcesoria dla lalek barbie. na wszelkie pytania odpowiem przez olx"
Zestaw Kanap Rozkładanych 3+2+1,Lubelskie,Łuków,Dom i Ogród,Komplety mebli,"Witam,"
Lejdis - film DVD NOWY,Zachodniopomorskie,Szczecin,Muzyka i Edukacja,Filmy,Lejdis - polska mega komedia
TANIEJ! Piękna suknia ślubna dla eleganckiej panny młodej,Podlaskie,Augustów,Ślub i Wesele,Suknie ślubne,"Witam, posiadam na sprzedaż piękną i elegancką suknię ślubną w rozmiarze 38/40. Gorsetowany tył pozwala dopasować sukienkę do sylwetki."
Ciśnieniomierz CCCP,Dolnośląskie,Wrocław,Sport i Hobby,Kolekcje,Zamienię lub sprzedam. Wszelkie propozycje mile widziane.
sterownik lub przekaźnik,Mazowieckie,Pionki,Elektronika,Pozostała elektronika,Nie wiem co to jest przekaźnik czy sterownik to jest nowe jakieś propozycje?
Zamienię,Mazowieckie,Warszawa,Moda,Kosmetyki i perfumy,Zamienię:
Lark cirrius 5,Wielkopolskie,Poznań,Elektronika,Inne telefony gsm,Zakupiony w listopadzie. 2016 gwarancja komplet.. Znudził się już. Zamienię.  możliwy dowóz.
żółta listonoszka jak nowa,Małopolskie,Bochnia,Moda,Dodatki,zamienię lub sprzedam żółtą listonoszkę
karty Panini Donruss 2015 - wymiana,Dolnośląskie,Świebodzice,Sport i Hobby,Kolekcje,Mam do wymiany karty z serii Panini Donruss 2015 (7 kart bazowych i 1 insert):
Butelki dla niemowlaka,Śląskie,Katowice,Dla Dzieci,Pozostałe dla dzieci,Butelki dla niemowlaka w stanie bardzo dobrym a z Lovi uzyte tylko raz zamienie na 1paczke chusteczek nawilzanych/biedronka dada\
Daniel Greps - Objawienie [fantastyka] (sprzedam/wymienię),Małopolskie,Kraków,Muzyka i Edukacja,Literatura,Daniel Greps - Objawienie
Lala reborn słodziak,Podlaskie,Białystok,Dla Dzieci,Zabawki,Lala jak nowa . Zamiana na inną . Cena 1700zł.
Battlefield hardline PS4,Mazowieckie,Otwock,Elektronika,Gry i Konsole,Sprzedam lub zamienię stan idealny
Zamienię platynki i malinezje,Wielkopolskie,Rawicz,Zwierzęta,Zwierzęta akwariowe,2 czarne molinezja (samiec i samica )
 Sparky Szlifierka kątowa MBA2200P-2000W-wtyczka,Wielkopolskie,Koło,Dom i Ogród,Narzędzia,Sparky MBA 2200P-wtyczka
Homefront,Małopolskie,Myślenice,Elektronika,Gry i Konsole,Gra w stanie idealnym propozycje wymiany proszę składac na e-maila. Płyta w napędzie.
Xiaomi MI MIX 6GB RAM 256GB pamięci 18k złoto od ręki w PL !,Wielkopolskie,Poznań,Elektronika,Inne telefony gsm,Posiadam Xiaomi Mi MIX w wersji z pamięcią RAM 6GB oraz pamięcią na dane użytkownika 256GB.
zamienię lub sprzedam alkomat,Podkarpackie,Rzeszów,Elektronika,Pozostała elektronika,"sprzedam lub zamienię alkomat  al 2500 sprawny , pudełko instrukcja  paragon zakupu, zamiana za telefon"
Samsung Galaxy s6 edge +,Śląskie,Chorzów,Elektronika,Samsung,"Zamienię telefon marki Samsung Galaxy s6 edge plus,  na gwarancji w bdb stanie,dodaje etui co na zdjęciu i gumowe na plecaki czarne mam(data zakupu 16.01.2016).Zamienię na coś interesującego.Jesli masz niższy model tel pisz odrazu ile dopłaty.Nie interesuje mnie iPhone,Lumia, Huawei i inne wynalazki a ekran musi mieć ponad 5,5.Sprzedaz 1800 zl"
Komputer Intel Core 2 Quad Q6600 grafika GTX 550ti,Lubuskie,Wschowa,Elektronika,Akcesoria i części,Sprzedam lub zamienie na cokolwiek kupilem nowy a ten stoi i sie kurzy.Karta graficzna Gtx 550ti procesor intel quad 6600 pozdrawiam cena to 450zl do duzej negocjacji :-) moge sprzedac osobno czesci interesuje cie cos napewno sie dogadamy
"Kurtka wiosna-jesień H&amp;amp;M, rozmiar L",Łódzkie,Łódź,Moda,Ubrania,"Przedmiotem mojej sprzedaży jest kurtka wiosna-jesień marki H&amp;M, rozmiar L. Kurtka w bardzo dobrym stanie."
PILOT/KLUCZYK/keyfobs RANGE ROVER bj32-15k601-bb // wysylka za free,Podlaskie,Białystok,Motoryzacja,Osobowe,pilot sprawny o numerach bj32-15k601-bb
Sprzedam gospodarstwo rolne,Warmińsko-mazurskie,Kętrzyn,Nieruchomości,Sprzedaż,Sprzedam gospodarstwo rolne wraz z domem i budynkami gospodarczymi we wsi Momajny (przy granicy z Rosją) .
kamizelka,Podkarpackie,Stalowa Wola,Moda,Ubrania,sprzedam kamizelke rozm m.l
Poczuj &amp;quot;CHEMIĘ&amp;quot; do chemii testy z chemii do klasy 1-3 gimnazjum,Lubuskie,Żary,Muzyka i Edukacja,Podręczniki szkolne,Poczuj &quot;CHEMIĘ&quot; do chemii testy z chemii do klasy 1-3 gimnazjum. Możliwość wysyłki za drobną opłatą.
Conversy nowe rozm 40,Kujawsko-pomorskie,Toruń,Moda,Buty,"Nowe conversy świetne kupiłam ale okazały się za małe,typową 40 długość wkładki 25,5 zamienię na inne conversy vansy nike lub coś co wypadnie mi w oko.sprzedaż 90"
"Spódnica marki Vila, rozmiar M",Zachodniopomorskie,Szczecin,Moda,Ubrania,"Witam,"
Spodnie,Śląskie,Sosnowiec,Moda,Ubrania,Witam.  Do sprzedania mam spodnie z cropp'a.  Po więcej informacji proszę pisać.
Rozm 42 XL PER UNA długa spódnica MAXI,Mazowieckie,Warszawa,Moda,Ubrania,"brązowa, wrażenie, jakby była szyta z klinów, ale nie jest:) ma naszyte taśmy z przeszyciem bladoróżową niteczką. materiał - 100% koszulowej cienkiej przewiewnej bawełny."
Własny biznes meble do kwiaciarni z asortymentem na start,Małopolskie,Rabka-Zdrój,Usługi i Firmy,Wyposażenie firm,"zamienie wymienie kompletne umeblowanie do kwiaciarni w sklad wchodza regaly lada , dwie lodowki , oraz asortyment , szklo wazony , swieczniki , kartki okolicznosciowe, zaproszenia , fajerwerki , znicze , wiazanki na wszystkich swietych , na boze narodzenie stroiki , stroiki na wielkanoc , doniczki plastikowe ,wstazki kubki , , ziemia do  kwiatkow , artykuly weselne , zawieszki na butelki , swieczki zapachowe , artykuly na 18 oraz na urodziny rozne okazje  jest tego sporo na moje oko 4-5 busow ,zamiana , wymiana na cos ciekawego , komputer , zestaw do sublimacji ,motor , quad , pisz jak masz  jakas propozycje zapraszam do kontaktu bo naprawde warto"
zamiana na ładowarkę lub bobcat- Mitsubishi Pajero Sport,Małopolskie,Nowy Sącz,Motoryzacja,Wózki widłowe,"Zamienię samochód marki Mitsubishi Pajero Sport. Samochód w stanie bardzo dobrym. W 2015 roku zostało pomalowane, zakonserwowano podwozie, wymieniono oleje i filtry,założono nowe klocki hamulcowe, oraz nowe orurowanie i nowe skórzane pokrowce. Auto posiada: napęd 4x4, hak, chromowane halogeny, nowe felgi 20 cali z oponami zimowymi i drugi komplet opon wielosezonowych."
mega seksowna sukienka,Opolskie,Kluczbork,Moda,Ubrania,"śliczna sukienka, idealna na każdą okazję!"
Narty,Lubelskie,Zamość,Sport i Hobby,Sporty zimowe,"Narty biegowe Atomic. Zestaw. Buty. Narty. Kije. Buty uzywane  1 raz. Kije 160 cm. Narty 190 dlugosc. Caly zestaw sprzedam w podanej cenie. Wiecej info. Pod nr. Telefonu. Moge ewentualnie zamienic na cos w podobnej cenie. Buty 44,5. Pisac"
"Granatowa kurtka zimowa CROPP TOWN, super stan, polecam",Mazowieckie,Piaseczno,Moda,Ubrania,"Witam,"
Jeansy,Śląskie,Tychy,Moda,Ubrania,Spodnie firmy Miss Sixty. Rozmiar 30. Stan bardzo dobry.
Centrum Lublina. Lokal wynajmę.,Lubelskie,Lublin,Nieruchomości,Wynajem,"Oferuję powierzchnię usługowo-handlową o metrażu 12 mkw., zlokalizowaną na parterze galerii."
Wynajem busów 9 osobowych,Śląskie,Chorzów,Usługi i Firmy,Usługi transportowe,Oferujemy wynajem krótko i długo terminowy busów 9-cio osobowych więcej na stronie alincar.pl
kamera gopro 2,Śląskie,Tychy,Sport i Hobby,Sporty wodne,Sprzedam kamerę gopro 2 100% sprawna plus obudowa do nurkowania na 150 metrów .
dętki rowerowe,Śląskie,Katowice,Sport i Hobby,Rowery,Masz propozycje ceny pisz! Możliwa zamiana z moja dopłatą!
Fotele IKEA i stolik dębowy,Wielkopolskie,Grodzisk Wielkopolski,Dom i Ogród,Komplety mebli,Sprzedam dwa fotele + stolik.
komplet Coolclub 62r,Wielkopolskie,Pleszew,Dla Dzieci,Ubranka dla dzieci,Witam mam do zaoferowania komplet cool club rozmiar 62. Nowy.
Bluza coolclub r. 122,Lubelskie,Lublin,Dla Dzieci,Ubranka dla dzieci,"Witam,"
ursus c-360 3p,Lubelskie,Ryki,Rolnictwo,Ciągniki,sprzedam ursusa c-360 3p stan dobry kpl. dokumentów ubezpieczony i zarejestrowany bez wkładu finansowego cena do rozsądnej negocjacji
TOREBKA extra mała z metalowymi zdobieniami,Lubelskie,Lublin,Moda,Dodatki,witam
Karty euro 2016 (limitowane karty panini ),Mazowieckie,Warszawa,Sport i Hobby,Kolekcje,Zapraszam do wymiany lub kupna limitowanych kart z kolekcji panini Euro 2016.
Zamienie książki Wrocław -Jelcz,Dolnośląskie,Jelcz-Laskowice,Muzyka i Edukacja,Literatura,Zamienię na klasykę lub kryminał następujące książki
ksiazki,Świętokrzyskie,Starachowice,Muzyka i Edukacja,Pozostałe,"witam zapraszam bardzo fajne ksiazki,rozne na moich aukcjach,brak encyklopedia zwierzat i leksykon zwierzat.,nie ma juz podroze zycja i joga"
Orient Automat zamiana na monety kolekcjonerskie,Łódzkie,Łódź,Moda,Zegarki,Witam
LG g4c,Lubelskie,Lublin,Elektronika,LG,Witam serdecznie na zamianę posiadam telefon LG G4C
nowa kurtka cool club,Pomorskie,Gdańsk,Dla Dzieci,Ubranka dla dzieci,"kurtka w kolorze beżowym/kremowym, w środku milutki polar w kolorowe paski,zapinana na zamek oraz guziki."
Buty dla dziecka NIKE,Podkarpackie,Krosno,Dla Dzieci,Buciki,Witam na sprzedaż buty firmy NIKE przywiozłem z Angli dla córeczki ale za małe raz na nogach można powiedzieć nowe polecam proszę dzwonić lub pisać o więcej info .
Łańcuchy Nowe,Śląskie,Rybnik,Motoryzacja,Pozostałe Opony i Felgi,Mam do sprzedania łańcuchy nowe nieuzywane. Leza juz ktorys rok w domu nie byly potrzebne. A teraz mi nie pasuja bo zmieniłam auto. Kontakt poprzez olx. Mozliwa wysylka.
bujaczek fisher price,Łódzkie,Piotrków Trybunalski,Dla Dzieci,Meble dla dzieci,bujaczek fisher price na baterie z melodyjką
Zamienie japobki,Śląskie,Zabrze,Dla Dzieci,Buciki,Zamienie japonki za kinder niespodzianke stan dobry z plusem tylko na czubkach widac drobniutkie otarcie zapraszam na inne moje oglaszenia
"Sukienka F&amp;amp;F, M",Łódzkie,Łódź,Moda,Ubrania,"Zamienię sukienkę firmy F&amp;F w rozmiarze S/M na coś, co wpadnie mi w oko (niekoniecznie ubrania)."
sprzedam,Małopolskie,Krzeszowice,Sport i Hobby,Obuwie sportowe,"Witam mam do sprzedania buty do nart marki koflach Austria rozmiar wysunięcia 313mm buty są damskie. Rozmiar 27,5 Odbiór w Krzeszowicach lub okolicach."
Kolczyki koła z błękitnymi elementami,Wielkopolskie,Poznań,Moda,Biżuteria,"Zamienię kolczyki koła z błękitnymi koralikami, w bardzo dobrym stanie."
wyrywaczka do fasoli ziarnowej,Lubelskie,Hrubieszów,Rolnictwo,Pozostałe maszyny rolnicze,"Wyrywaczka do fasoli ziarnowej 6-rzędowa zawieszana na przedni TUZ . wydajność od 3 do 5ha /godz. Napęd hydrauliczny , boczny wyrzut lewo/prawo , rozstaw międzyrzędzi 45 cm. Producent Pickett Equipment USA"
plecak plecaczek dla chłopca,Dolnośląskie,Legnica,Dla Dzieci,Pozostałe dla dzieci,"Plecaczek dla dziecka. stan bdb. niebieski, wymiary: dł.-30cm, szer-25cm. zapinany na zamek. wysyłka 13zl"
torebka monari,Wielkopolskie,Piła,Moda,Dodatki,Sprzedam torebkę monnari . Stan bardzo dobry . Torebka w kolorze pudrowy roz ze złotym łańcuszkiem . Przepiękna
koniki my little pony,Dolnośląskie,Wrocław,Dla Dzieci,Zabawki,"Koniki, kucyki my little pony- 16 sztuk"
Lemiesz Guma 1.5m x 15cm x 3.5cm do Pługa Spychacza Zgarniacza Śniegu,Łódzkie,Bełchatów,Rolnictwo,Części do maszyn rolniczych,"Gumy zbrojone linką stalową do spychaczy obornika, zgarniaczy, pługów w niskiej cenie."
Zielona bluzka z dekoltem V,Wielkopolskie,Luboń,Moda,Ubrania,Wady pokazane na zdjęciach.
Sprzedam/zamienię,Śląskie,Katowice,Moda,Ubrania,Xl.l.m polecam na żywo super są...za sztukę od 80/100 zł
Guma Power Rangers Kent - naklejki Rzadkość,Lubelskie,Krasnystaw,Sport i Hobby,Kolekcje,Stan jak na zdjęciu.
Gry na ps3 sprzedam/zamienię,Małopolskie,Nowy Sącz,Elektronika,Gry i Konsole,Witam sprzedam zamienię gry na ps3 zamienię na inne lub sprzedam o ceny pytajcie na olx lub pod nr tel
Buty chlopiece roz 25,Śląskie,Katowice,Dla Dzieci,Buciki,"Zamienie na jeden mus owocowy (z Gerbera lub Hipp) w dobrym stanie,wygodne buty chlopiece. Roz 25."
Language leader (pre-intermediate)- coursebook+workbook+CD\,Lubelskie,Lublin,Muzyka i Edukacja,Podręczniki szkolne,Podręcznik w 40% jest powypełniany długopisem/ołówkiem. Ćwiczenia wypełnione w 10%. Obydwie książki posiadają płyty CD.
Skrzynki drewniane do krzewów ozdobnych,Pomorskie,Pruszcz Gdański,Dom i Ogród,Pozostałe dom i ogród,"Sprzedam skrzynki drewniane do krzewów ozdobnych, impregnowane. Mniejsze mają wymiar wewnątrz 31x31 głębokość, wysokość 26 + 12 cm nóżki. Cena 65 zł. Większe 36x36, 26 + 12 nóżki. Cena 85 zł."
wazony,Mazowieckie,Józefów,Dom i Ogród,Dekoracje,sprzedam dwa wazony pięknie zdobione na jednym motywem jest smok w drugim słoń 160zł/szt zapraszam do zakupu
Buty Lasocki Kids Nowe rozm 25,Śląskie,Jaworzno,Dla Dzieci,Buciki,"Nowe buty junior Kids. Skórzane,  nigdy nie noszone. Kolorystyka  beżowo  fioletowe. Kupione za 89 zl (prezent ) jednak nietrafiony  rozmiar.  Długość mierzona pod  podeszwa to ok 16 cm."
zamienie wydech z wsk 4 na wydech wsk 3,Śląskie,Pszów,Motoryzacja,Części motocyklowe,zamienie wydech z wsk 4 na wydech wsk3
Legginsy,Wielkopolskie,Luboń,Dla Dzieci,Ubranka dla dzieci,"Bardzo ładne, nie zniszczone. Zapraszam"
Zestaw kosmetyków.,Dolnośląskie,Dzierżoniów,Moda,Kosmetyki i perfumy,"Zestaw kosmetyków kuferek cienie, błyszczyk, podkład 4 w 1. Kontakt Ania"
Ubranka dla dzieci,Pomorskie,Władysławowo,Dla Dzieci,Ubranka dla dzieci,Mam do sprzedania komplet body + pólśpiochy. Bardzo dobre gatunkowo założone kilka razy stan bdb. Cena  jednego kompletu 20zł.
torebka MK Michael Kors torba sprzedam/zamienie,Łódzkie,Łódź,Moda,Dodatki,"zamienie sliczna torebke Michael  Kors  w kolorze bezowym torebka prakrycznie nie noszona oze z 3 razy załozona na jakies okoliczność swiąteczną ,torba  ma duzo kieszonek jest bardzo pojemna.Podszewka srodkowa i zamki od ekspresów całe logowane MK"
31. Sukienka Disney Minnie George 0-3miesiące rozm56,Pomorskie,Kościerzyna,Dla Dzieci,Ubranka dla dzieci,Super sukienka jeansowa dla małej księżniczki
mała Drewniana szkatułka pamiątka z Zakopanego NOWA,Pomorskie,Gdańsk,Dom i Ogród,Dekoracje,Kupiona w Zakopanem
Olej z PESTEK WINOGRON 100% 500ml,Małopolskie,Gorlice,Moda,Kosmetyki i perfumy,"Jasnozielony olej uzyskuje się z tłoczonych na zimno pestek winogron. Jest niezwykle bogaty w nienasycone kwasy tłuszczowe (NNKT), które mają właściwości łagodzące, a także nawilżające."
Szpilki srebrne szare 36,Łódzkie,Łowicz,Moda,Buty,Szare srebrne szpilki z kwiatkami. Rozmiar 36/37.
Botki cekinowe Bershka 37 Sylwester-slupek,Wielkopolskie,Murowana Goślina,Moda,Buty,Do sprzedaży raz założone botki firmy Bershka. Rozmiar 37. Wysyłka kurierem 10 zł.Stan butów- idealny-tylko raz miałam je na nogach.Wartość butów 150 zł.
Sukienka,Wielkopolskie,Gostyń,Moda,Ubrania,"Sprzedam śliczną sukienke, stan bardzo dobry tylko raz użyta. Pod biustem przechodzi różowy pas, a na środku jest różowa kokarda. Tył jest wykonany z gumą co powoduje, że sukienka ładnie się rozciąga."
NOWY Półmisek do serwowania głęboki 1 L ; 20 cm Z-Line ZEPTER,Śląskie,Katowice,Dom i Ogród,Akcesoria kuchenne,"sprzedam nowy, nigdy nie używany półmisek firmy ZEPTER"
kurtka ocieplana !!!,Śląskie,Rybnik,Dla Dzieci,Ubranka dla dzieci,witam na zamiane  kurtka dziewczeca ocieplana  rozm.104 jest mozliwosc wysyłki
sprzedam przewijak,Wielkopolskie,Słupca,Dla Dzieci,Pozostałe dla dzieci,sprzedam przewijak kolor żółty zadbany polecam
Koszula ZARA rozmiar S,Mazowieckie,Płock,Moda,Ubrania,Srzedam koszulę firmy ZARA w rozmiarze S w modnym kolorze bordo.
stare bonety i branzoletka oraz medal znalezisko strychowe,Podkarpackie,Jasło,Muzyka i Edukacja,Pozostała muzyka i edukacja,"Witam, ma do sprzedania to co na zdjęciach czyli stare monety, branzoletkę oraz medal, napisz na email lub tel"
Bluzka OLYMPIA 36,Mazowieckie,Warszawa,Moda,Ubrania,"Bluzeczka taliowana w kolorze ecru, z lekkim połyskiem, znanej polskiej firmy Olympia, z lekko rozciągliwej tkaniny. Zapinana na guziczki obciągnięte tkaniną. W biuście są trzy ozdobne zaszewki. Rękawki są zapinane na jeden guziczek, bluzka założona dwa razy, sprzedaję ze względu na zmianę rozmiaru."
"Solidarność - ulotki &amp;quot;bibuła&amp;quot; , dokumenty Cała kolekcja 80r. do 82r",Śląskie,Rybnik,Sport i Hobby,Kolekcje,Sprzedam lub zamienię obszerną kolekcje ulotek Solidarności z okresu 80 do 82r
dres nike,Śląskie,Chorzów,Dla Dzieci,Ubranka dla dzieci,Sprzedam dresik firmy nike dla dzieczynki
Spodnie,Śląskie,Sosnowiec,Moda,Ubrania,Witam.  Do sprzedania mam spodnie z cropp'a.  Po więcej informacji proszę pisać.
zamszowe wysokie botki na koturnie 38/39,Kujawsko-pomorskie,Bydgoszcz,Moda,Buty,NIE WYSYŁAM!
Ubranka dla maluszka r.80 - po 2zł/szt.,Śląskie,Sosnowiec,Dla Dzieci,Ubranka dla dzieci,Ubranka w r. 80 po 2zł/szt.:
Koszula w kratkę,Podkarpackie,Leżajsk,Moda,Ubrania,koszula młodzieżowa praktyczna  jest w dobrym stanie
Kurtka dzieciece roz 116,Wielkopolskie,Gniezno,Dla Dzieci,Ubranka dla dzieci,cena za sztuke oby dwie posiadaja wiatrolapt a w serduszka dodatkowo na rece
Dark soul 2 wymienie,Łódzkie,Pajęczno,Elektronika,Gry i Konsole,Wymienie się na grę również na PS3. Wysylajcie propozycje.
"Ubrania damskie rozmiar S, xs",Mazowieckie,Piaseczno,Moda,Ubrania,"Oddam ubrania rozmiar S,xs odbiór osobisty"
Wymienię za Paczkę Pampersów Dada 2ki z Biedronki,Śląskie,Żywiec,Dla Dzieci,Foteliki - Nosidełka,Wymienię za paczkę pampersów Dada 2 z Biedronki. Fotelik z wózka Bebetto Magnum.
zamienie,Mazowieckie,Ciechanów,Moda,Ubrania,"Zamienie kardigan w stanie bdb wiązany z przodu, rozm s"
Karty Fifa 365 Edycja 2017 Wymiana i Sprzedaż,Zachodniopomorskie,Szczecin,Sport i Hobby,Kolekcje,Aktualizacja listy. 04.02.2017 o 17:00
